Estado,Sigla,Regiao,Populacao,Pib,Homicidios.100mil,Analfabetos.10a14anos,Anos.de.estudos
ACRE,AC,NORTE,732793,8477000,21.56,5.09,6.9
ALAGOAS,AL,NORDESTE,3120922,24575000,59.19,5.48,5.7
AMAPA,AP,NORTE,668689,8266000,26.99,1.77,8.2
AMAZONAS,AM,NORTE,3480937,59779000,30.48,1.38,8.7
BAHIA,BA,NORDESTE,14021432,154340000,36.52,3.37,6.6
CEARA,CE,NORDESTE,8448055,77865000,25.34,2.33,6.4
DISTRITO FEDERAL,DF,CENTRO-OESTE,2562963,149906000,38.48,0.69,10.1
ESPIRITO SANTO,ES,SUDESTE,3512672,82122000,56.47,0.77,7.8
GOIAS,GO,CENTRO-OESTE,6004045,97576000,30.1,0.77,7.6
MARANHAO,MA,NORDESTE,6569683,45256000,21.85,4.6,6.1
MATO GROSSO,MT,CENTRO-OESTE,3033991,59600000,18.12,1.06,7.5
MATO GROSSO DO SUL,MS,CENTRO-OESTE,2449341,43514000,30.84,1.34,7.8
MINAS GERAIS,MG,SUDESTE,19595309,351381000,32.99,0.79,7.8
PARA,PA,NORTE,7588078,77848000,40.28,3.75,6.8
PARAIBA,PB,NORDESTE,3766834,31947000,33.55,5.74,6.5
PARANA,PR,SUL,10439601,217290000,44.62,1.77,6.9
PERNAMBUCO,PE,NORDESTE,8796032,95187000,12.38,4.22,5.8
PIAUI,PI,NORDESTE,3119015,22060000,34.43,0.72,8.1
RIO DE JANEIRO,RJ,SUDESTE,15993583,407123000,26.22,0.82,8.9
RIO GRANDE DO NORTE,RN,NORDESTE,3168133,32339000,25.15,4.21,6.5
RIO GRANDE DO SUL,RS,SUL,10695532,252483000,35.57,1.08,7.3
RONDONIA,RO,NORTE,1560501,23561000,27.28,1.24,8.3
RORAIMA,RR,NORTE,451227,6341000,20.41,0.49,7.9
SANTA CATARINA,SC,SUL,6249682,152482000,13.09,0.44,8.3
SAO PAULO,SP,SUDESTE,41252160,1247596000,32.83,2.37,6.2
SERGIPE,SE,NORDESTE,2068031,23932000,15.27,0.43,8.9
TOCANTINS,TO,NORTE,1383453,17240000,21.83,1.4,7.2
